benefit_id,employer_id,plan_type_id,plan_name,effective_date,termination_date,status,plan_description
3002,1001,101,Lakeside Dependent Care,01/01/2026,,Active,Lakeside Dependent Care
3003,1001,105,Lakeside COBRA,01/01/2026,,Active,Lakeside COBRA
3004,1002,100,Northern Timber Health FSA,07/01/2025,,Active,Northern Timber Health FSA
3005,1002,103,Northern Timber HRA,07/01/2025,,Active,Northern Timber HRA
3006,1002,104,Northern Timber HSA,07/01/2025,,Active,Northern Timber HSA
3007,1003,103,Superior Copper HRA,04/01/2026,,Active,Superior Copper HRA
3008,1003,105,Superior Copper COBRA,04/01/2026,,Active,Superior Copper COBRA
3009,1004,100,Iron Range Health FSA,01/01/2026,,Active,Iron Range Health FSA
3010,1004,106,Iron Range Transit/Parking,01/01/2026,,Active,Iron Range Transit/Parking
3011,1005,100,Peninsula Health FSA,10/01/2025,,Active,Peninsula Health FSA
3012,1005,103,Peninsula HRA,10/01/2025,,Active,Peninsula HRA
3013,1005,104,Peninsula HSA,10/01/2025,,Active,Peninsula HSA
3014,1005,105,Peninsula COBRA,10/01/2025,,Active,Peninsula COBRA
